type	key	name	lead
area	shizuoka/higashi-izu	東伊豆	東伊豆は相模灘に面した磯・磯場が続き、黒潮の影響で水温が高く魚影が濃いエリアです。メジナ・イシダイが年間を通じて狙え、夏〜秋はアオリイカ・ソウダガツオも好機です。
area	shizuoka/minami-izu	南伊豆	南伊豆は伊豆半島最南端に位置し、外洋の透明度が高く潮通しが抜群の磯が揃います。グレ・イシダイ・マダイが狙え、黒潮の接近する夏〜秋はカツオ系の回遊も期待できます。
area	shizuoka/nishi-izu	西伊豆	西伊豆は駿河湾に面した急深の地形が特徴で、磯や港から水深のあるポイントに届きやすい環境です。メジナ・カサゴ・アオリイカが狙え、秋〜冬は良型カサゴの実績が高まります。
area	shizuoka/suruga-bay	駿河湾	駿河湾は日本有数の深湾で、岸からでも水深のある場所に近づきやすい地形が特徴です。マダイ・カサゴ・アジが狙え、磯や堤防からのぶっ込み釣りでも実績が上がるエリアです。
area	tokyo/tokyobay	東京湾	東京湾（東京側）は運河・護岸・公園の釣り場が点在し、都心から気軽にアクセスできます。シーバス・クロダイが通年の主役で、夏〜秋はアジ・タチウオも加わり賑わいます。
area	wakayama/kii-suido-wakayama	紀伊水道（和歌山）	紀伊水道は太平洋と大阪湾をつなぐ潮通しの良い海峡で、潮流が速く豊富なベイトが集まります。チヌ・マダイ・ハマチが狙え、秋〜冬にはサワラの回遊実績も高いエリアです。
area	wakayama/kumano-nada	熊野灘	熊野灘（和歌山側）は黒潮の影響が強く、水温が高い時期が長く続く磯釣りの銘地です。グレ・イシダイ・アオリイカが狙え、大型グレを求めて遠征釣行する釣り人も多くいます。
city	chiba/kujukuri/asahi	旭市	旭市は九十九里浜の北端に位置し、広大なサーフが続く投げ釣りの好適地です。キス・イシモチが夏〜秋にかけて狙え、冬はカレイの実績も高いエリアです。
city	chiba/kujukuri/choshi	銚子市	銚子市は利根川河口と太平洋が交わる地点で、強い潮流が魚を集める好漁場です。イシモチ・クロダイ・ヒラメが狙え、港湾の波止からアジ・サバのサビキ釣りも盛んです。
city	chiba/kujukuri/kujukuri	九十九里町	九十九里町は広大なサーフが続く典型的な砂浜釣り場で、投げ釣りが主体のエリアです。夏〜秋のキスが定番で、秋口にはイナダ・ワカシのナブラが発生することもあります。
city	chiba/kujukuri/oamishiarasato	大網白里市	大網白里市は九十九里浜の中ほどに面し、遠浅のサーフが広がるエリアです。投げ釣りでキス・イシモチが狙いやすく、朝夕のまずめ時にはヒラメが浅場に差してきます。
city	chiba/kujukuri/sanmu	山武市	山武市は九十九里浜に接する遠浅のサーフが続くエリアです。夏のキス投げ釣りが中心で、秋にはカレイが加わります。波の穏やかな日はルアーでのヒラメ狙いも有効です。
city	chiba/kujukuri/sousa	匝瑳市	匝瑳市は九十九里浜北部に位置し、砂浜と河口が混在するエリアです。キス・イシモチの投げ釣りが定番で、飯岡周辺の港では根魚やクロダイも狙えます。
city	chiba/kujukuri/yokoshibahikari	横芝光町	横芝光町は九十九里浜の中間地点に面し、アクセスしやすいサーフが続きます。投げ釣りでキス・イシモチが狙え、夏〜初秋にかけてが最盛期です。河口付近ではシーバスの実績もあります。
city	chiba/sotobo/chousei	長生村	長生村は外房の北寄りに位置し、サーフと磯が混在するエリアです。キス・イシモチの投げ釣りに加え、磯場ではメジナ・カサゴが狙えます。外洋に面しているため波の状況確認が釣行の鍵です。
city	chiba/sotobo/ichinomiya	一宮町	一宮町は外房の玄関口にあたり、サーフが広がる投げ釣り向きのエリアです。キス・ヒラメが主なターゲットで、秋にはイナダの回遊も見られます。一宮川河口周辺はシーバスの好ポイントです。
city	chiba/sotobo/isumi	いすみ市	いすみ市は外房中部に位置し、サーフと磯が交互に現れる変化に富んだ海岸線です。キス・メジナ・カサゴが狙え、夷隅川河口ではシーバスやクロダイの実績があります。
city	chiba/sotobo/kamogawa	鴨川市	鴨川市は外房南部の磯釣りエリアで、黒潮の影響を受けやすく水温が比較的高めです。メジナ・イシダイが狙え、アオリイカの好漁場としても知られています。秋〜冬は磯グレの好期です。
city	chiba/sotobo/katsuura	勝浦市	勝浦市は外房屈指の磯釣りエリアで、荒々しい磯場が点在しています。メジナ・イシダイ・アオリイカが狙え、黒潮接近時には大型魚の回遊も期待できます。
city	chiba/sotobo/minamiboso	南房総市	南房総市は房総半島南部に位置し、外洋の磯・砂浜と東京湾側の穏やかな海況の両方が楽しめます。クロダイ・メジナが通年狙え、春〜夏はアオリイカ、夏〜秋はカツオの回遊も見られます。
city	chiba/sotobo/onjuku	御宿町	御宿町は外房の磯と砂浜が隣接するコンパクトなエリアです。投げ釣りでキス・イシモチ、磯ではメジナ・カサゴが狙えます。透明度が高く、秋のアオリイカ狙いにも定評があります。
city	chiba/tokyobay/chiba	千葉市	千葉市は東京湾に面した護岸・公園の釣り場が多く、都市近郊ながら手軽に釣りを楽しめます。シーバス・クロダイが通年狙え、夏〜秋はアジ・サバのサビキ釣りも賑わいます。
city	chiba/tokyobay/futtsu	富津市	富津市は東京湾に突き出した富津岬を持ち、干潟・砂浜・護岸と変化に富んだ釣り場が揃います。キス・ハゼ・クロダイが狙いやすく、岬先端は潮通しが良く魚影が濃いです。
city	chiba/tokyobay/ichihara	市原市	市原市は東京湾奥の工業港湾エリアで、護岸・堤防からの釣りが中心です。シーバス・クロダイが通年の主役で、夏はハゼ、秋〜冬はカレイも狙えます。
city	chiba/tokyobay/ichikawa	市川市	市川市は江戸川河口に接する東京湾奥エリアで、汽水域特有の魚種が揃います。シーバス・クロダイが高実績で、夏〜秋のハゼ釣りは家族連れにも人気があります。
city	chiba/tokyobay/kisarazu	木更津市	木更津市は東京湾の中ほどに位置し、干潟・護岸・人工島と釣り場のバリエーションが豊富です。クロダイ・シーバスが通年狙え、春〜夏のキス、秋〜冬のカレイも実績があります。
city	chiba/tokyobay/urayasu	浦安市	浦安市は東京湾奥の護岸・公園が釣り場の中心で、都心からのアクセスが良好です。シーバス・クロダイが主なターゲットで、夏〜秋はアジのサビキ釣りも楽しめます。
city	chiba/uchibo/futtsu	富津市	富津市は東京湾に突き出した富津岬を持ち、干潟・砂浜・護岸と変化に富んだ釣り場が揃います。キス・ハゼ・クロダイが狙いやすく、岬先端は潮通しが良く魚影が濃いです。
city	chiba/uchibo/kyonan	鋸南町	鋸南町は内房南部の岩礁帯が発達したエリアで、根魚が豊富に生息しています。メジナ・カサゴ・クロダイが狙え、春〜秋はアジの回遊も多く堤防釣りも楽しめます。
city	chiba/uchibo/minamiboso	南房総市	南房総市は房総半島南部に位置し、外洋の磯・砂浜と東京湾側の穏やかな海況の両方が楽しめます。クロダイ・メジナが通年狙え、春〜夏はアオリイカ、夏〜秋はカツオの回遊も見られます。
city	chiba/uchibo/tateyama	館山市	館山市は館山湾の穏やかな地形と内房南端の磯が揃う釣り場環境です。クロダイ・メジナが年間を通じて狙え、透明度の高い秋〜冬はアオリイカ狙いの釣り人も多く訪れます。
city	tokyo/tokyobay/koto	江東区	江東区は荒川・隅田川の河口に近い東京湾奥エリアで、運河・護岸沿いに釣り場が点在します。シーバス・クロダイが通年狙え、夏はハゼ、秋〜冬はカレイも加わります。
city	tokyo/tokyobay/ota	大田区	大田区は多摩川河口に接する東京湾奥エリアで、河口域ならではの汽水釣りが楽しめます。シーバス・クロダイが通年狙え、夏〜秋のハゼ釣りは初心者にも人気があります。
city	kanagawa/miura/hayama	葉山町	葉山町は三浦半島西側の相模湾に面し、岩礁と砂地が混在する変化に富んだ地形です。メジナ・カサゴ・クロダイが狙え、透明度の高い秋〜冬はアオリイカ狙いにも定評があります。
city	kanagawa/miura/miura	三浦市	三浦市は三浦半島の最南端に位置し、相模湾・東京湾の両方に釣り場が広がっています。潮通しの良い磯でメジナ・イシダイが狙え、港湾ではアジ・カサゴも手軽に釣れます。
city	kanagawa/miura/yokosuka	横須賀市	横須賀市は三浦半島の付け根に位置し、岩礁地帯が多くメジナ・カサゴが狙いやすい環境です。駐車場完備のスポットも多く、東京湾・相模湾どちらの釣り場にもアクセスしやすいエリアです。
city	kanagawa/sagamibay/chigasaki	茅ヶ崎市	茅ヶ崎市は相模湾に面した砂浜海岸が続くサーフ釣りの好適地です。夏〜秋のキスが定番で、烏帽子岩周辺の磯ではメジナ・クロダイも狙えます。
city	kanagawa/sagamibay/fujisawa	藤沢市	藤沢市は相模湾に面した砂浜と河口が続くエリアで、引地川・境川の河口付近はシーバス・クロダイの好ポイントです。夏〜秋のキス投げ釣りも盛んで、片瀬漁港周辺はアジ・イワシも狙えます。
city	kanagawa/sagamibay/hiratsuka	平塚市	平塚市は相模川河口を擁する相模湾のエリアで、砂地と河口が混在した地形です。キス・カレイの投げ釣りが定番で、河口周辺ではシーバス・クロダイの実績も高いです。
city	kanagawa/sagamibay/kamakura	鎌倉市	鎌倉市は相模湾に面した磯と砂浜が入り交じる釣り場環境です。メジナ・カサゴが磯で狙え、由比ヶ浜などのサーフではキスの投げ釣りも楽しめます。
city	kanagawa/sagamibay/manazuru	真鶴町	真鶴町は真鶴半島の磯釣りで知られる相模湾のエリアです。潮通しが良くメジナ・イシダイが高実績で、秋〜冬は良型グレが磯に寄りやすくなります。
city	kanagawa/sagamibay/ninomiya	二宮町	二宮町は相模湾西部の砂浜が続くサーフエリアで、投げ釣りが主体です。キス・カレイが狙いやすく、河口付近ではクロダイ・シーバスも釣れます。コンパクトな釣り場が多く気軽に釣行できます。
city	kanagawa/sagamibay/odawara	小田原市	小田原市は相模湾西部に位置し、早川港・小田原漁港など港湾の釣り場が充実しています。アジ・サバのサビキ釣りが盛んで、磯ではメジナ・カサゴ、投げ釣りではキスが狙えます。
city	kanagawa/sagamibay/oiso	大磯町	大磯町は相模湾に面した砂浜と磯が隣接するエリアです。大磯港周辺ではアジ・メバルが狙いやすく、サーフではキスの投げ釣りも楽しめます。こぢんまりした釣り場が多く地元釣り師に親しまれています。
city	kanagawa/sagamibay/yugawara	湯河原町	湯河原町は相模湾西端の磯釣りエリアで、岩礁帯が発達し根魚が豊富です。メジナ・カサゴ・アオリイカが狙え、黒潮の影響を受けやすく秋〜冬も水温が比較的安定しています。
city	kanagawa/tokyobay/kawasaki	川崎市	川崎市の海釣りは東扇島西公園に集約されており、整備された護岸から東京湾奥を狙えます。シーバス・クロダイが通年の主役で、夏〜秋はアジ・ハゼも混じります。
city	kanagawa/tokyobay/yokohama	横浜市	横浜市は東京湾に面した護岸・公園・港湾の釣り場が充実した大型エリアです。シーバス・クロダイが年間を通じて狙え、秋はタチウオ・アジの回遊も加わり釣り場が賑わいます。
city	shizuoka/enshu-nada/hamamatsu	浜松市	浜松市は遠州灘に面した広大なサーフと浜名湖の汽水域を併せ持つエリアです。サーフではキス・ヒラメが定番で、浜名湖周辺ではクロダイ・シーバスも狙えます。
city	shizuoka/enshu-nada/iwata	磐田市	磐田市は遠州灘の砂浜海岸が続くサーフ釣りエリアです。キス・カレイの投げ釣りが主体で、太田川河口周辺ではシーバス・クロダイの実績もあります。
city	shizuoka/enshu-nada/kakegawa	掛川市	掛川市は遠州灘に接する砂浜が続くエリアで、投げ釣りでキス・イシモチが狙えます。菊川河口付近はシーバスの好ポイントとしても知られています。
city	shizuoka/enshu-nada/kosai	湖西市	湖西市は浜名湖西岸と遠州灘に面した二面性のあるエリアです。浜名湖内ではクロダイ・ハゼが狙いやすく、外洋側のサーフではキス・ヒラメの実績があります。
city	shizuoka/enshu-nada/omaezaki	御前崎市	御前崎市は遠州灘と駿河湾の境に位置し、外洋サーフ・地磯・港湾とバリエーション豊富な釣り場が揃います。キス・カレイが定番で、アジ・クロダイも通年狙えます。
city	shizuoka/higashi-izu/atami	熱海市	熱海市は東伊豆の玄関口で、磯と港湾が揃う釣り場環境です。メジナ・カサゴが年間を通じて狙え、熱海港周辺ではアジ・サバのサビキ釣りも楽しめます。
city	shizuoka/higashi-izu/higashiizu	東伊豆町	東伊豆町は黒潮の影響を受けやすい磯釣りエリアで、水温が安定しています。メジナ・イシダイが狙いやすく、秋はアオリイカの好漁場としても知られています。
city	shizuoka/higashi-izu/ito	伊東市	伊東市は東伊豆の中心に位置し、磯・港湾・砂浜と釣り場の種類が豊富です。メジナ・クロダイが通年狙え、伊東港周辺ではアジ・メバルも手軽に釣れます。
city	shizuoka/higashi-izu/shimoda	下田市	下田市は伊豆半島南端に位置し、入り組んだ湾・磯・砂浜と変化に富んだ地形が特徴です。黒潮の恩恵で水温が高く、メジナ・アオリイカ・カサゴが年間を通じて狙えます。
city	shizuoka/minami-izu/minamiizu	南伊豆町	南伊豆町は伊豆半島南部に広がり、外洋磯と駿河湾の入り江が混在する多彩な地形が特徴です。グレ・カサゴ・メジナが狙え、秋〜冬のアオリイカも好シーズンです。
city	shizuoka/minami-izu/shimoda	下田市	下田市は伊豆半島南端に位置し、入り組んだ湾・磯・砂浜と変化に富んだ地形が特徴です。黒潮の恩恵で水温が高く、メジナ・アオリイカ・カサゴが年間を通じて狙えます。
city	shizuoka/nishi-izu/izu	伊豆市	伊豆市は西伊豆の山がちな地形が海岸まで迫り、急深の磯が点在するエリアです。メジナ・カサゴが狙いやすく、秋〜冬は良型メジナの釣果が期待できます。
city	shizuoka/nishi-izu/matsuzaki	松崎町	松崎町は西伊豆の静かな入り江と磯が続くエリアで、透明度の高さが特徴です。メジナ・アオリイカが狙いやすく、岩地港など小規模な港でもカサゴ・アジが釣れます。
city	shizuoka/nishi-izu/minamiizu	南伊豆町	南伊豆町は伊豆半島南部に広がり、外洋磯と駿河湾の入り江が混在する多彩な地形が特徴です。グレ・カサゴ・メジナが狙え、秋〜冬のアオリイカも好シーズンです。
city	shizuoka/nishi-izu/nishiizu	西伊豆町	西伊豆町は駿河湾に面した急深の磯が続き、潮通しの良いポイントが多いエリアです。メジナ・イシダイが高実績で、秋〜冬にかけて良型グレが狙いやすくなります。
city	shizuoka/nishi-izu/numazu	沼津市	沼津市は駿河湾北部に位置し、内浦湾の穏やかな地形と千本浜の砂浜が揃うエリアです。アジ・クロダイが狙いやすく、キス・カレイの投げ釣りも楽しめます。
city	shizuoka/suruga-bay/fuji	富士市	富士市は富士山麓から流れる田子の浦港を擁する駿河湾のエリアです。アジ・クロダイ・キスが狙いやすく、田子の浦港は足場が良く釣り初心者にも入りやすい環境です。
city	shizuoka/suruga-bay/makinohara	牧之原市	牧之原市は駿河湾に面した砂浜と地磯が混在するエリアです。キス・カレイの投げ釣りが定番で、磯場ではメジナ・カサゴも狙えます。
city	shizuoka/suruga-bay/omaezaki	御前崎市	御前崎市は遠州灘と駿河湾の境に位置し、外洋サーフ・地磯・港湾とバリエーション豊富な釣り場が揃います。キス・カレイが定番で、アジ・クロダイも通年狙えます。
city	shizuoka/suruga-bay/shizuoka	静岡市	静岡市は安倍川河口から用宗港にかけて砂浜と港が続く駿河湾のエリアです。キス・シーバス・クロダイが狙え、用宗港周辺はアジのサビキ釣りでも人気があります。
city	shizuoka/suruga-bay/yaizu	焼津市	焼津市は駿河湾に面した漁港・護岸が充実したエリアです。アジ・クロダイが通年狙いやすく、秋〜冬はカレイも加わります。大きな港湾施設が多く足場が良い釣り場が揃っています。
city	shizuoka/suruga-bay/yoshida	吉田町	吉田町は大井川河口を擁する駿河湾のエリアで、河口域特有の釣り場環境が広がっています。シーバス・クロダイが河口周辺で狙いやすく、砂浜ではキスの投げ釣りも楽しめます。
city	aichi/enshu-nada/tahara	田原市	田原市は渥美半島に位置し、遠州灘の外洋サーフと三河湾の穏やかな内湾という２つの顔を持ちます。キス・ヒラメ・クロダイが狙え、海況に合わせて釣り場を選べます。
city	aichi/isewan/chita	知多市	知多市は知多半島北部の伊勢湾に面した護岸・港湾が続くエリアです。クロダイ・キスが年間を通じて狙いやすく、秋〜冬はカレイの釣果も期待できます。
city	aichi/isewan/minamichita	南知多町	南知多町は知多半島南端に位置し、伊勢湾・三河湾の両面に釣り場があります。クロダイ・カサゴ・メバルが狙いやすく、港の護岸ではアジ・イワシのサビキ釣りも楽しめます。
city	aichi/isewan/nagoya	名古屋市	名古屋市は伊勢湾奥の護岸・埋立地に釣り場が点在する都市型エリアです。シーバス・クロダイが通年の主役で、夏〜秋はハゼ釣りも盛んです。
city	aichi/isewan/tobishima	飛島村	飛島村は伊勢湾奥の埋立地に囲まれた静かな釣り場環境です。クロダイ・ハゼが狙いやすく、護岸からの釣りが中心で足場の良いポイントが揃っています。
city	aichi/isewan/tokai	東海市	東海市は伊勢湾に面した護岸・港湾が整備されたエリアです。クロダイ・シーバスが通年狙え、夏はハゼ、冬はカレイも加わります。
city	aichi/isewan/tokoname	常滑市	常滑市は知多半島西岸の伊勢湾に面し、港湾・護岸の釣り場が充実しています。クロダイ・キスが狙いやすく、中部国際空港対岸の護岸はアジのサビキ釣りでも人気があります。
city	aichi/isewan/yatomi	弥富市	弥富市は木曽川・長良川の河口に近い伊勢湾奥エリアで、汽水域特有の環境が広がります。シーバス・クロダイが高実績で、夏〜秋のハゼ釣りも盛んなエリアです。
city	aichi/mikawa-bay/gamagori	蒲郡市	蒲郡市は三河湾の中央部に位置し、複雑な海岸線と島々が潮の変化を生むエリアです。クロダイ・キスが年間を通じて狙いやすく、春〜秋はアジの回遊も活発です。
city	aichi/mikawa-bay/handa	半田市	半田市は三河湾北部の内湾に面し、護岸・港湾からの釣りが中心のエリアです。クロダイ・ハゼが狙いやすく、冬はカレイの実績も高いです。
city	aichi/mikawa-bay/hekinan	碧南市	碧南市は矢作川河口に接する三河湾のエリアで、河口域ならではの釣り場環境が広がります。シーバス・クロダイが高実績で、夏〜秋のキスも好調なポイントが多くあります。
city	aichi/mikawa-bay/mihama	美浜町	美浜町は知多半島中部の三河湾に面した穏やかなエリアです。クロダイ・キスが狙いやすく、港周辺ではアジ・メバルも手軽に釣れます。
city	aichi/mikawa-bay/minamichita	南知多町	南知多町は知多半島南端に位置し、伊勢湾・三河湾の両面に釣り場があります。クロダイ・カサゴ・メバルが狙いやすく、港の護岸ではアジ・イワシのサビキ釣りも楽しめます。
city	aichi/mikawa-bay/nishio	西尾市	西尾市は矢作川・安城川の河口を擁する三河湾奥のエリアです。ハゼ・キスが夏〜秋にかけて好調で、クロダイも年間を通じて狙えます。干潟が広がるポイントも多くあります。
city	aichi/mikawa-bay/tahara	田原市	田原市は渥美半島に位置し、遠州灘の外洋サーフと三河湾の穏やかな内湾という２つの顔を持ちます。キス・ヒラメ・クロダイが狙え、海況に合わせて釣り場を選べます。
city	aichi/mikawa-bay/taketoyo	武豊町	武豊町は三河湾北部の内湾に面した護岸・港湾が続くエリアです。クロダイ・ハゼが通年狙いやすく、冬〜春はカレイも加わります。
city	aichi/mikawa-bay/toyohashi	豊橋市	豊橋市は豊川河口を擁する三河湾東部のエリアで、河口域と砂浜が混在しています。シーバス・クロダイが河口周辺で高実績で、砂浜ではキス・カレイの投げ釣りも楽しめます。
city	mie/isewan/ise	伊勢市	伊勢市は宮川河口を擁する伊勢湾南部のエリアで、砂地と岩礁が混在する釣り場環境です。キス・クロダイが狙いやすく、河口周辺ではシーバスの実績も高いです。
city	mie/isewan/kawagoe	川越町	川越町は伊勢湾奥の護岸・港湾が中心のコンパクトなエリアです。クロダイ・ハゼが狙いやすく、夏〜秋にかけてキスも好調なポイントが揃っています。
city	mie/isewan/kuwana	桑名市	桑名市は木曽三川の河口に位置する伊勢湾奥エリアで、汽水域特有の豊かな魚種が集まります。シーバス・クロダイが高実績で、夏〜秋のハゼ釣りも盛んなエリアです。
city	mie/isewan/meiwa	明和町	明和町は宮川支流が注ぐ伊勢湾内湾のエリアで、護岸・河口からの釣りが中心です。クロダイ・キスが狙いやすく、河口付近ではシーバスも釣れます。
city	mie/isewan/suzuka	鈴鹿市	鈴鹿市は伊勢湾に面した砂浜と護岸が続くエリアです。キス・カレイの投げ釣りが定番で、鈴鹿川河口周辺ではクロダイ・シーバスの実績もあります。
city	mie/isewan/tsu	津市	津市は雲出川・岩田川の河口を擁する伊勢湾中部のエリアです。キス・クロダイが年間を通じて狙いやすく、河口周辺はシーバスの好ポイントとしても知られています。
city	mie/isewan/yokkaichi	四日市市	四日市市は伊勢湾北部の港湾・護岸が充実した工業港湾エリアです。クロダイ・シーバスが通年狙え、夏はハゼ、冬〜春はカレイも加わります。
city	mie/kumano-nada/kiho	紀宝町	紀宝町は熊野川河口に接する熊野灘南端のエリアで、河口域と磯が混在しています。クロダイ・グレが狙いやすく、黒潮の影響で水温が高い時期が長く続きます。
city	mie/kumano-nada/kihoku	紀北町	紀北町は熊野灘北部のリアス式海岸が続くエリアで、入り江と磯が交互に現れます。グレ・カサゴが年間を通じて狙いやすく、秋〜冬は良型グレの実績が高まります。
city	mie/kumano-nada/kumano	熊野市	熊野市は七里御浜の砂礫浜と磯が広がる熊野灘の中心エリアです。グレ・イシダイが磯で狙え、砂浜ではキス・ヒラメの実績もあります。黒潮接近時は青物の回遊も期待できます。
city	mie/kumano-nada/owase	尾鷲市	尾鷲市は深い入り江と外洋磯が入り混じる熊野灘屈指の釣り場エリアです。グレ・イシダイが高実績で、アオリイカの好漁場としても知られています。秋〜冬は良型グレが磯に寄りやすくなります。
city	mie/shima-minami-ise/minamiise	南伊勢町	南伊勢町は英虞湾周辺のリアス式海岸が発達したエリアで、複雑な地形が多様な魚種を育みます。クロダイ・グレが狙いやすく、湾内の筏や護岸ではアジ・メバルも釣れます。
city	mie/shima-minami-ise/shima	志摩市	志摩市は英虞湾・的矢湾など複数の湾が入り組むリアス地形で、潮通しの良いポイントが豊富です。マダイ・クロダイ・アオリイカが狙え、磯釣りから堤防釣りまで幅広いスタイルに対応できます。
city	mie/shima-minami-ise/taiki	大紀町	大紀町は宮川中流域に近い伊勢湾南部のエリアで、比較的静かな釣り場環境が広がります。キス・クロダイが狙いやすく、河川に近いポイントではシーバスの実績もあります。
city	mie/shima-minami-ise/toba	鳥羽市	鳥羽市は複雑なリアス地形と島々が点在する潮通しの良いエリアです。クロダイ・グレ・アオリイカが狙いやすく、磯と港湾の両方が発達しているため釣り場のバリエーションが豊富です。
city	wakayama/kii-suido-wakayama/arida	有田市	有田市は有田川河口に面した紀伊水道のエリアで、砂浜と港湾が混在しています。キス・クロダイが狙いやすく、河口周辺ではシーバスの実績もあります。
city	wakayama/kii-suido-wakayama/gobo	御坊市	御坊市は日高川河口を擁する紀伊水道のエリアで、砂浜と磯が入り交じります。キス・クロダイが年間を通じて狙え、河口付近ではシーバスの好ポイントも点在しています。
city	wakayama/kii-suido-wakayama/hirokawa	広川町	広川町は紀伊水道に面した小規模な港湾・砂浜が続くエリアです。クロダイ・キスが狙いやすく、こぢんまりした漁港からの釣りが中心となります。
city	wakayama/kii-suido-wakayama/kainan	海南市	海南市は和歌山市南隣の紀伊水道に面したエリアで、磯と港湾が揃っています。クロダイ・メジナが狙いやすく、下津港周辺はアジ・サバのサビキ釣りでも賑わいます。
